"donor_id","cohort","condition","gart_threshold","group","n_cells"
"SCP259_N15","SCP259","Healthy",1,"Fibroblast",522
"SCP259_N15","SCP259","Healthy",1,"Endothelial",174
"SCP259_N15","SCP259","Healthy",1,"Other epithelial",6082
"SCP259_N15","SCP259","Healthy",1,"T/NK",1923
"SCP259_N15","SCP259","Healthy",1,"GART-undetected ISC-like",1
"SCP259_N15","SCP259","Healthy",1,"GART-detected ISC-like",0
"SCP259_N15","SCP259","Healthy",2,"Myeloid",263
"SCP259_N15","SCP259","Healthy",2,"Fibroblast",522
"SCP259_N15","SCP259","Healthy",2,"Endothelial",174
"SCP259_N15","SCP259","Healthy",2,"Other epithelial",6082
"SCP259_N15","SCP259","Healthy",2,"T/NK",1923
"SCP259_N15","SCP259","Healthy",2,"GART-undetected ISC-like",1
"SCP259_N15","SCP259","Healthy",2,"GART-detected ISC-like",0
"SCP259_N16","SCP259","Healthy",1,"Myeloid",220
"SCP259_N16","SCP259","Healthy",1,"Fibroblast",301
"SCP259_N16","SCP259","Healthy",1,"Endothelial",44
"SCP259_N16","SCP259","Healthy",1,"Other epithelial",3094
"SCP259_N16","SCP259","Healthy",1,"T/NK",551
"SCP259_N16","SCP259","Healthy",1,"GART-undetected ISC-like",0
"SCP259_N16","SCP259","Healthy",1,"GART-detected ISC-like",0
"SCP259_N16","SCP259","Healthy",2,"Myeloid",220
"SCP259_N16","SCP259","Healthy",2,"Fibroblast",301
"SCP259_N16","SCP259","Healthy",2,"Endothelial",44
"SCP259_N16","SCP259","Healthy",2,"Other epithelial",3094
"SCP259_N16","SCP259","Healthy",2,"T/NK",551
"SCP259_N16","SCP259","Healthy",2,"GART-undetected ISC-like",0
"SCP259_N16","SCP259","Healthy",2,"GART-detected ISC-like",0
"SCP259_N17","SCP259","Healthy",1,"Myeloid",221
"SCP259_N17","SCP259","Healthy",1,"Fibroblast",281
"SCP259_N17","SCP259","Healthy",1,"Endothelial",61
"SCP259_N17","SCP259","Healthy",1,"Other epithelial",2323
"SCP259_N17","SCP259","Healthy",1,"T/NK",757
"SCP259_N17","SCP259","Healthy",1,"GART-undetected ISC-like",0
"SCP259_N17","SCP259","Healthy",1,"GART-detected ISC-like",0
"SCP259_N17","SCP259","Healthy",2,"Myeloid",221
"SCP259_N17","SCP259","Healthy",2,"Fibroblast",281
"SCP259_N17","SCP259","Healthy",2,"Endothelial",61
"SCP259_N17","SCP259","Healthy",2,"Other epithelial",2323
"SCP259_N17","SCP259","Healthy",2,"T/NK",757
"SCP259_N17","SCP259","Healthy",2,"GART-undetected ISC-like",0
"SCP259_N17","SCP259","Healthy",2,"GART-detected ISC-like",0
"SCP259_N18","SCP259","Healthy",1,"Myeloid",313
"SCP259_N18","SCP259","Healthy",1,"Fibroblast",794
"SCP259_N18","SCP259","Healthy",1,"Endothelial",82
"SCP259_N18","SCP259","Healthy",1,"Other epithelial",3441
"SCP259_N18","SCP259","Healthy",1,"T/NK",1199
"SCP259_N18","SCP259","Healthy",1,"GART-undetected ISC-like",0
"SCP259_N18","SCP259","Healthy",1,"GART-detected ISC-like",0
"SCP259_N18","SCP259","Healthy",2,"Myeloid",313
"SCP259_N18","SCP259","Healthy",2,"Fibroblast",794
"SCP259_N18","SCP259","Healthy",2,"Endothelial",82
"SCP259_N18","SCP259","Healthy",2,"Other epithelial",3441
"SCP259_N18","SCP259","Healthy",2,"T/NK",1199
"SCP259_N18","SCP259","Healthy",2,"GART-undetected ISC-like",0
"SCP259_N18","SCP259","Healthy",2,"GART-detected ISC-like",0
"SCP259_N19","SCP259","UC",1,"Myeloid",143
"SCP259_N19","SCP259","UC",1,"Fibroblast",323
"SCP259_N19","SCP259","UC",1,"Endothelial",82
"SCP259_N19","SCP259","UC",1,"Other epithelial",3568
"SCP259_N19","SCP259","UC",1,"T/NK",1237
"SCP259_N19","SCP259","UC",1,"GART-undetected ISC-like",3
"SCP259_N19","SCP259","UC",1,"GART-detected ISC-like",4
"SCP259_N19","SCP259","UC",2,"Myeloid",143
"SCP259_N19","SCP259","UC",2,"Fibroblast",323
"SCP259_N19","SCP259","UC",2,"Endothelial",82
"SCP259_N19","SCP259","UC",2,"Other epithelial",3568
"SCP259_N19","SCP259","UC",2,"T/NK",1237
"SCP259_N19","SCP259","UC",2,"GART-undetected ISC-like",3
"SCP259_N19","SCP259","UC",2,"GART-detected ISC-like",1
"SCP259_N20","SCP259","Healthy",1,"Myeloid",388
"SCP259_N20","SCP259","Healthy",1,"Fibroblast",427
"SCP259_N20","SCP259","Healthy",1,"Endothelial",106
"SCP259_N20","SCP259","Healthy",1,"Other epithelial",2740
"SCP259_N20","SCP259","Healthy",1,"T/NK",2629
"SCP259_N20","SCP259","Healthy",1,"GART-undetected ISC-like",0
"SCP259_N20","SCP259","Healthy",1,"GART-detected ISC-like",0
"SCP259_N20","SCP259","Healthy",2,"Myeloid",388
"SCP259_N20","SCP259","Healthy",2,"Fibroblast",427
"SCP259_N20","SCP259","Healthy",2,"Endothelial",106
"SCP259_N20","SCP259","Healthy",2,"Other epithelial",2740
"SCP259_N20","SCP259","Healthy",2,"T/NK",2629
"SCP259_N20","SCP259","Healthy",2,"GART-undetected ISC-like",0
"SCP259_N20","SCP259","Healthy",2,"GART-detected ISC-like",0
"SCP259_N21","SCP259","Healthy",1,"Myeloid",163
"SCP259_N21","SCP259","Healthy",1,"Fibroblast",276
"SCP259_N21","SCP259","Healthy",1,"Endothelial",27
"SCP259_N21","SCP259","Healthy",1,"Other epithelial",4247
"SCP259_N21","SCP259","Healthy",1,"T/NK",923
"SCP259_N21","SCP259","Healthy",1,"GART-undetected ISC-like",3
"SCP259_N21","SCP259","Healthy",1,"GART-detected ISC-like",0
"SCP259_N21","SCP259","Healthy",2,"Myeloid",163
"SCP259_N21","SCP259","Healthy",2,"Fibroblast",276
"SCP259_N21","SCP259","Healthy",2,"Endothelial",27
"SCP259_N21","SCP259","Healthy",2,"Other epithelial",4247
"SCP259_N21","SCP259","Healthy",2,"T/NK",923
"SCP259_N21","SCP259","Healthy",2,"GART-undetected ISC-like",3
"SCP259_N21","SCP259","Healthy",2,"GART-detected ISC-like",0
"SCP259_N23","SCP259","UC",1,"Myeloid",380
"SCP259_N23","SCP259","UC",1,"Fibroblast",240
"SCP259_N23","SCP259","UC",1,"Endothelial",66
"SCP259_N23","SCP259","UC",1,"Other epithelial",5576
"SCP259_N23","SCP259","UC",1,"T/NK",2332
"SCP259_N23","SCP259","UC",1,"GART-undetected ISC-like",828
"SCP259_N23","SCP259","UC",1,"GART-detected ISC-like",258
"SCP259_N23","SCP259","UC",2,"Myeloid",380
"SCP259_N23","SCP259","UC",2,"Fibroblast",240
"SCP259_N23","SCP259","UC",2,"Endothelial",66
"SCP259_N23","SCP259","UC",2,"Other epithelial",5576
"SCP259_N23","SCP259","UC",2,"T/NK",2332
"SCP259_N23","SCP259","UC",2,"GART-undetected ISC-like",828
"SCP259_N23","SCP259","UC",2,"GART-detected ISC-like",78
"SCP259_N24","SCP259","UC",1,"Myeloid",308
"SCP259_N24","SCP259","UC",1,"Fibroblast",1104
"SCP259_N24","SCP259","UC",1,"Endothelial",249
"SCP259_N24","SCP259","UC",1,"Other epithelial",4315
"SCP259_N24","SCP259","UC",1,"T/NK",1884
"SCP259_N24","SCP259","UC",1,"GART-undetected ISC-like",2252
"SCP259_N24","SCP259","UC",1,"GART-detected ISC-like",1394
"SCP259_N24","SCP259","UC",2,"Myeloid",308
"SCP259_N24","SCP259","UC",2,"Fibroblast",1104
"SCP259_N24","SCP259","UC",2,"Endothelial",249
"SCP259_N24","SCP259","UC",2,"Other epithelial",4315
"SCP259_N24","SCP259","UC",2,"T/NK",1884
"SCP259_N24","SCP259","UC",2,"GART-undetected ISC-like",2252
"SCP259_N24","SCP259","UC",2,"GART-detected ISC-like",442
"SCP259_N26","SCP259","UC",1,"Myeloid",499
"SCP259_N26","SCP259","UC",1,"Fibroblast",631
"SCP259_N26","SCP259","UC",1,"Endothelial",65
"SCP259_N26","SCP259","UC",1,"Other epithelial",6767
"SCP259_N26","SCP259","UC",1,"T/NK",1169
"SCP259_N26","SCP259","UC",1,"GART-undetected ISC-like",3
"SCP259_N26","SCP259","UC",1,"GART-detected ISC-like",1
"SCP259_N26","SCP259","UC",2,"Myeloid",499
"SCP259_N26","SCP259","UC",2,"Fibroblast",631
"SCP259_N26","SCP259","UC",2,"Endothelial",65
"SCP259_N26","SCP259","UC",2,"Other epithelial",6767
"SCP259_N26","SCP259","UC",2,"T/NK",1169
"SCP259_N26","SCP259","UC",2,"GART-undetected ISC-like",3
"SCP259_N26","SCP259","UC",2,"GART-detected ISC-like",0
"SCP259_N44","SCP259","UC",1,"Myeloid",855
"SCP259_N44","SCP259","UC",1,"Fibroblast",864
"SCP259_N44","SCP259","UC",1,"Endothelial",131
"SCP259_N44","SCP259","UC",1,"Other epithelial",2408
"SCP259_N44","SCP259","UC",1,"T/NK",3242
"SCP259_N44","SCP259","UC",1,"GART-undetected ISC-like",162
"SCP259_N44","SCP259","UC",1,"GART-detected ISC-like",124
"SCP259_N44","SCP259","UC",2,"Myeloid",855
"SCP259_N44","SCP259","UC",2,"Fibroblast",864
"SCP259_N44","SCP259","UC",2,"Endothelial",131
"SCP259_N44","SCP259","UC",2,"Other epithelial",2408
"SCP259_N44","SCP259","UC",2,"T/NK",3242
