method,source,omitted_donor,median_difference,positive_direction,n
NATMI,Myeloid,SCP259_N58,0.251584261655807,TRUE,10
NATMI,Myeloid,SCP259_N661,0.302491098642349,TRUE,10
NATMI,Myeloid,SCP259_N9,0.251584261655807,TRUE,10
NATMI,Other epithelial,SCP259_N106,0.76707398891449,TRUE,10
NATMI,Other epithelial,SCP259_N111,0.724789142608643,TRUE,10
NATMI,Other epithelial,SCP259_N23,0.724789142608643,TRUE,10
NATMI,Other epithelial,SCP259_N24,0.76707398891449,TRUE,10
NATMI,Other epithelial,SCP259_N44,0.725080847740173,TRUE,10
NATMI,Other epithelial,SCP259_N49,0.76707398891449,TRUE,10
NATMI,Other epithelial,SCP259_N50,0.76707398891449,TRUE,10
NATMI,Other epithelial,SCP259_N539,0.724789142608643,TRUE,10
NATMI,Other epithelial,SCP259_N58,0.724789142608643,TRUE,10
NATMI,Other epithelial,SCP259_N661,0.724789142608643,TRUE,10
NATMI,Other epithelial,SCP259_N9,0.76707398891449,TRUE,10
NATMI,T/NK,SCP259_N106,0.381159126758575,TRUE,10
NATMI,T/NK,SCP259_N111,0.308144211769104,TRUE,10
NATMI,T/NK,SCP259_N23,0.308144211769104,TRUE,10
NATMI,T/NK,SCP259_N24,0.381159126758575,TRUE,10
NATMI,T/NK,SCP259_N44,0.381159126758575,TRUE,10
NATMI,T/NK,SCP259_N49,0.381159126758575,TRUE,10
NATMI,T/NK,SCP259_N50,0.381159126758575,TRUE,10
NATMI,T/NK,SCP259_N539,0.348677933216095,TRUE,10
NATMI,T/NK,SCP259_N58,0.308144211769104,TRUE,10
NATMI,T/NK,SCP259_N661,0.308144211769104,TRUE,10
NATMI,T/NK,SCP259_N9,0.308144211769104,TRUE,10
logFC,Endothelial,SCP259_N106,0.0680511159588078,TRUE,10
logFC,Endothelial,SCP259_N111,0.0506270806404282,TRUE,10
logFC,Endothelial,SCP259_N23,0.0506270806404282,TRUE,10
logFC,Endothelial,SCP259_N24,0.0506270806404282,TRUE,10
logFC,Endothelial,SCP259_N44,0.0506270806404282,TRUE,10
logFC,Endothelial,SCP259_N49,0.0680511159588078,TRUE,10
logFC,Endothelial,SCP259_N50,0.0680511159588078,TRUE,10
logFC,Endothelial,SCP259_N539,0.067977753761521,TRUE,10
logFC,Endothelial,SCP259_N58,0.0506270806404282,TRUE,10
logFC,Endothelial,SCP259_N661,0.0680511159588078,TRUE,10
logFC,Endothelial,SCP259_N9,0.0680511159588078,TRUE,10
logFC,Fibroblast,SCP259_N106,0.0680511159588078,TRUE,10
logFC,Fibroblast,SCP259_N111,0.0506270806404282,TRUE,10
logFC,Fibroblast,SCP259_N23,0.0506270806404282,TRUE,10
logFC,Fibroblast,SCP259_N24,0.0506270806404282,TRUE,10
logFC,Fibroblast,SCP259_N44,0.0506270806404282,TRUE,10
logFC,Fibroblast,SCP259_N49,0.0680511159588078,TRUE,10
logFC,Fibroblast,SCP259_N50,0.0680511159588078,TRUE,10
logFC,Fibroblast,SCP259_N539,0.067977753761521,TRUE,10
logFC,Fibroblast,SCP259_N58,0.0506270806404282,TRUE,10
logFC,Fibroblast,SCP259_N661,0.0680511159588078,TRUE,10
logFC,Fibroblast,SCP259_N9,0.0680511159588078,TRUE,10
logFC,Myeloid,SCP259_N106,0.0680511159588078,TRUE,10
logFC,Myeloid,SCP259_N111,0.0506270806404282,TRUE,10
logFC,Myeloid,SCP259_N23,0.0506270806404282,TRUE,10
logFC,Myeloid,SCP259_N24,0.0506270806404282,TRUE,10
logFC,Myeloid,SCP259_N44,0.0506270806404282,TRUE,10
logFC,Myeloid,SCP259_N49,0.0680511159588078,TRUE,10
logFC,Myeloid,SCP259_N50,0.0680511159588078,TRUE,10
logFC,Myeloid,SCP259_N539,0.067977753761521,TRUE,10
logFC,Myeloid,SCP259_N58,0.0506270806404282,TRUE,10
logFC,Myeloid,SCP259_N661,0.0680511159588078,TRUE,10
logFC,Myeloid,SCP259_N9,0.0680511159588078,TRUE,10
logFC,Other epithelial,SCP259_N106,0.0680511159588078,TRUE,10
logFC,Other epithelial,SCP259_N111,0.0506270806404282,TRUE,10
logFC,Other epithelial,SCP259_N23,0.0506270806404282,TRUE,10
logFC,Other epithelial,SCP259_N24,0.0506270806404282,TRUE,10
logFC,Other epithelial,SCP259_N44,0.0506270806404282,TRUE,10
logFC,Other epithelial,SCP259_N49,0.0680511159588078,TRUE,10
logFC,Other epithelial,SCP259_N50,0.0680511159588078,TRUE,10
logFC,Other epithelial,SCP259_N539,0.067977753761521,TRUE,10
logFC,Other epithelial,SCP259_N58,0.0506270806404282,TRUE,10
logFC,Other epithelial,SCP259_N661,0.0680511159588078,TRUE,10
logFC,Other epithelial,SCP259_N9,0.0680511159588078,TRUE,10
logFC,T/NK,SCP259_N106,0.0680511159588078,TRUE,10
