gart_threshold,min_cells,expression_threshold,source,interaction_name,result_type,pathway_name,ligand,receptor,median_difference,HL_estimate,CI_low,CI_high,P,positive_donor_fraction,n_paired_donors,test,warning,FDR,lodo_positive_fraction,lodo_n
1,20,0.05,Endothelial,MIF_CD74_CD44,interaction,MIF,MIF,CD74_CD44,0.0104781329000592,0.00805712912574505,0.00416787336178355,0.0130682207777393,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.00926050646551724,1,11
1,20,0.05,Endothelial,MIF_CD74_CXCR4,interaction,MIF,MIF,CD74_CXCR4,0.0024291586893193,0.000973640987221799,-0.00600115353000046,0.0076559325206105,0.5625,0.666666666666667,6,exact Wilcoxon signed-rank,"",0.587049335863378,1,6
1,20,0.05,Endothelial,MIF_CD74_FAMILY,interaction_family,MIF,MIF,CD74-containing receptor complex family,0.0105174238160977,0.0102732823431189,0.00419302503028723,0.0120067323615765,0.0029296875,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.012890625,1,11
1,20,0.05,Fibroblast,,pathway,BMP,,,0.0029429205214709,0.00199040412191524,0.000151446848441476,0.00393240614310922,0.0322265625,0.727272727272727,11,exact Wilcoxon signed-rank,"",0.0443821957236842,,
1,20,0.05,Fibroblast,,pathway,MIF,,,0.0110825333317635,0.0107315166056006,0.00472990579547561,0.0143490056656685,0.0029296875,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.00779594809322034,,
1,20,0.05,Fibroblast,,pathway,MK,,,0.0201022451417911,0.0210881688872731,0.0147166128852274,0.0287071662786554,0.0009765625,1,11,exact Wilcoxon signed-rank,"",0.00528690732758621,,
1,20,0.05,Fibroblast,,pathway,TRAIL,,,0.000273183106887533,0.00120302428068324,2.91041308712516e-05,0.00223399370570028,0.0244140625,0.818181818181818,11,exact Wilcoxon signed-rank,"",0.0365048363095238,,
1,20,0.05,Fibroblast,MIF_CD74_CD44,interaction,MIF,MIF,CD74_CD44,0.0100806734757703,0.00844647368622074,0.00414292026107713,0.0131825196546787,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.00926050646551724,1,11
1,20,0.05,Fibroblast,MIF_CD74_CXCR4,interaction,MIF,MIF,CD74_CXCR4,0.00311255239738015,0.000903109635801931,-0.00807843567486115,0.00801813936173912,0.6875,0.666666666666667,6,exact Wilcoxon signed-rank,"",0.70677570093458,1,6
1,20,0.05,Fibroblast,MIF_CD74_FAMILY,interaction_family,MIF,MIF,CD74-containing receptor complex family,0.0110825333317635,0.0106550575089465,0.00309573921999064,0.012715769498716,0.0029296875,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.012890625,1,11
1,20,0.05,Myeloid,,pathway,MIF,,,0.00636431312918113,0.00638946455473717,0.00269086071706332,0.0144404416053406,0.009765625,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.0180376838235294,,
1,20,0.05,Myeloid,,pathway,MK,,,0.00358626270373165,,,,,1,1,not estimable: <6 paired donors,"",,,
1,20,0.05,Myeloid,,pathway,TRAIL,,,0.00026206129274486,0.000308286757724776,-9.82048830425989e-06,0.000582644973776239,0.064453125,0.8,10,exact Wilcoxon signed-rank,"",0.0784429505813954,,
1,20,0.05,Myeloid,MIF_CD74_CD44,interaction,MIF,MIF,CD74_CD44,0.0036573743291564,0.00515976087035674,0.00219037354107512,0.00916730157258028,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.00926050646551724,1,11
1,20,0.05,Myeloid,MIF_CD74_CXCR4,interaction,MIF,MIF,CD74_CXCR4,0.00166080953512093,0.00019686801151083,-0.00569468211557418,0.004473247814994,0.84375,0.666666666666667,6,exact Wilcoxon signed-rank,"",0.856203874538746,1,6
1,20,0.05,Myeloid,MIF_CD74_FAMILY,interaction_family,MIF,MIF,CD74-containing receptor complex family,0.00636431312918114,0.006159030345318,0.00269086071706332,0.00916246000444866,0.009765625,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.0248661747685185,1,11
1,20,0.05,Other epithelial,,pathway,BMP,,,0.000202028586167438,,,,,0.8,5,not estimable: <6 paired donors,"",,,
1,20,0.05,Other epithelial,,pathway,MIF,,,0.0140401118975707,0.0140435476741325,0.00568261589187046,0.0255045371921158,0.009765625,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.0180376838235294,,
1,20,0.05,Other epithelial,,pathway,MK,,,0.0184922526428653,0.018588680828409,0.0125864516639733,0.0276498374125221,0.0009765625,1,11,exact Wilcoxon signed-rank,"",0.00528690732758621,,
1,20,0.05,Other epithelial,,pathway,TRAIL,,,0.000278319437787497,0.000697742758755166,7.42427807942517e-05,0.00145572586537372,0.0322265625,0.818181818181818,11,exact Wilcoxon signed-rank,"",0.0443821957236842,,
