signature,rank,gene,log2FC,P,FDR,matched_singlecell,projection_weight
SC_GART_NEAREST_CENTROID_PROGRAM,586,HMBS,0.338148891733101,0.0001038158174182,0.0020047868934088,True,0.08104065574272601
SC_GART_NEAREST_CENTROID_PROGRAM,587,DPAGT1,0.293018969115727,0.0004975451062631,0.0057235511251699,True,0.06098523785065413
SC_GART_NEAREST_CENTROID_PROGRAM,588,NRGN,0.372807728696712,0.0111992504476809,0.0484295405084594,True,0.018880006347360534
SC_GART_NEAREST_CENTROID_PROGRAM,589,CHEK1,0.50502305317725,2.14539620917159e-06,0.0001555619870637,True,0.051883121196662274
SC_GART_NEAREST_CENTROID_PROGRAM,590,FOXRED1,0.395291253981314,9.62958571886677e-05,0.0019223252911961,True,0.04793426020037417
SC_GART_NEAREST_CENTROID_PROGRAM,591,NCAPD3,0.348945448320989,0.001199423092326,0.0104175549726834,True,0.030938712890998588
SC_GART_NEAREST_CENTROID_PROGRAM,592,GTPBP4,0.19113207399207,0.0104042375069685,0.0460325871716464,True,0.058816594459660476
SC_GART_NEAREST_CENTROID_PROGRAM,593,RBM17,0.12835968527213,0.0080733100030946,0.0385782020088353,True,0.0791448028046623
SC_GART_NEAREST_CENTROID_PROGRAM,594,NUDT5,0.273305869028255,3.82016798809508e-05,0.0010296131419232,True,0.08937899378841674
SC_GART_NEAREST_CENTROID_PROGRAM,595,CDC123,0.209652579312147,0.001420401123409,0.011627012546245,True,0.07844158853588379
SC_GART_NEAREST_CENTROID_PROGRAM,596,MCM10,0.733294902173452,0.0002698145882055,0.0037080117823958,True,0.026691710136394153
SC_GART_NEAREST_CENTROID_PROGRAM,597,HSPA14,0.326254838085924,0.0002455249831833,0.003467216784099,True,0.05326881915718984
SC_GART_NEAREST_CENTROID_PROGRAM,598,MTPAP,0.231738966140792,0.0050397914354891,0.0280684915478013,True,0.03819770285407875
SC_GART_NEAREST_CENTROID_PROGRAM,599,BMS1,0.328944447574147,6.55820403134691e-05,0.001480581680291,True,0.0557730088803946
SC_GART_NEAREST_CENTROID_PROGRAM,600,HNRNPF,0.170643721040172,0.0002259477649916,0.0033413512246588,True,0.054106902800394985
SC_GART_NEAREST_CENTROID_PROGRAM,601,ZWINT,0.526154118455873,6.051178959899791e-09,5.50892830074415e-06,True,0.09878368572559859
SC_GART_NEAREST_CENTROID_PROGRAM,602,CISD1,0.18217209479921,0.0009583153543131,0.0090083774910586,True,0.07819480415330304
SC_GART_NEAREST_CENTROID_PROGRAM,603,TFAM,0.224290154559784,0.0055245439507289,0.029894246250478,True,0.07379724286090483
SC_GART_NEAREST_CENTROID_PROGRAM,604,CDK1,0.617151226696578,2.27019296681923e-08,9.11239241217189e-06,True,0.07626240515956284
SC_GART_NEAREST_CENTROID_PROGRAM,605,DNA2,0.580123868662106,0.0036523618181007,0.0224556315501283,True,0.015226239956307341
SC_GART_NEAREST_CENTROID_PROGRAM,606,H2AFY2,0.286088826699318,0.002050750824919,0.0148699280782353,True,0.04268017256292156
SC_GART_NEAREST_CENTROID_PROGRAM,607,LRRC20,0.651385415511764,8.16966664470726e-05,0.0017422938030334,True,0.012602074505117411
SC_GART_NEAREST_CENTROID_PROGRAM,608,PCBD1,0.184479017970817,0.0001402518719876,0.0023883193776805,True,0.07605804789327697
SC_GART_NEAREST_CENTROID_PROGRAM,609,DNAJC9,0.449659702982314,2.34608463327383e-07,4.11994456146322e-05,True,0.09025398214784774
SC_GART_NEAREST_CENTROID_PROGRAM,610,MRPS16,0.157192294608896,0.0050031232378486,0.0279334833930356,True,0.07341981404288211
SC_GART_NEAREST_CENTROID_PROGRAM,611,ADK,0.221189556084145,0.0019465749356781,0.0143647772173911,True,0.055745434939788674
SC_GART_NEAREST_CENTROID_PROGRAM,612,COMTD1,0.139871623494963,0.0058409319069826,0.0310972210812779,True,0.07953955715852445
SC_GART_NEAREST_CENTROID_PROGRAM,613,KCNMA1,0.339664015002926,0.0080101279047918,0.0384084017593209,True,0.027191413527889008
SC_GART_NEAREST_CENTROID_PROGRAM,614,PPIF,0.340544907053585,2.17693516370438e-05,0.0007030624800251,True,0.09299779534465369
SC_GART_NEAREST_CENTROID_PROGRAM,615,KIF20B,0.373186858927154,0.0002328202736808,0.003405763443214,True,0.06596965794925402
SC_GART_NEAREST_CENTROID_PROGRAM,616,RPP30,0.250284404330978,0.0007267154309498,0.0074385744339211,True,0.06127310765675398
SC_GART_NEAREST_CENTROID_PROGRAM,617,KIF11,0.419393628664101,0.0012444923919237,0.0106607088359995,True,0.032025753056956874
SC_GART_NEAREST_CENTROID_PROGRAM,618,NOC3L,0.262523097683351,0.0076112295449451,0.0371603796753269,True,0.02506430838110696
SC_GART_NEAREST_CENTROID_PROGRAM,619,HELLS,0.591067693758046,2.93326547393811e-07,4.77782183501311e-05,True,0.08051374615666773
SC_GART_NEAREST_CENTROID_PROGRAM,620,EXOSC1,0.175259555716939,0.0072008615107931,0.0358407327545427,True,0.0630711116288395
SC_GART_NEAREST_CENTROID_PROGRAM,621,MMS19,0.397435543296834,4.65166654200744e-05,0.001169576739723,True,0.039381429894290276
SC_GART_NEAREST_CENTROID_PROGRAM,622,GOT1,0.188464954768837,0.0104269025760958,0.0460644489201024,True,0.07543803464807952
SC_GART_NEAREST_CENTROID_PROGRAM,623,SLC25A28,0.240589635501085,0.0098901021289268,0.0444619431308036,True,0.03406869548246794
SC_GART_NEAREST_CENTROID_PROGRAM,624,DPCD,0.176034603026961,0.0024171242399058,0.0166970247893682,True,0.07393556359860887
SC_GART_NEAREST_CENTROID_PROGRAM,625,NPM3,0.420858519699498,3.01854747506327e-07,4.77823310876564e-05,True,0.10644229686009377
