endpoint,family,panel,group,mouse_id,value,source_replicate_position,mouse_id_status
Ki67+ cells (%),multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Control,IF_GART_MYBL2_KI67__Control_rep_01,2.91,1,source-position ID; actual mouse and selection mapping absent
Ki67+ cells (%),multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Control,IF_GART_MYBL2_KI67__Control_rep_02,6.17,2,source-position ID; actual mouse and selection mapping absent
Ki67+ cells (%),multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Control,IF_GART_MYBL2_KI67__Control_rep_03,4.99,3,source-position ID; actual mouse and selection mapping absent
Ki67+ cells (%),multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Model,IF_GART_MYBL2_KI67__Model_rep_01,23.34,1,source-position ID; actual mouse and selection mapping absent
Ki67+ cells (%),multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Model,IF_GART_MYBL2_KI67__Model_rep_02,19.6,2,source-position ID; actual mouse and selection mapping absent
Ki67+ cells (%),multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Model,IF_GART_MYBL2_KI67__Model_rep_03,12.97,3,source-position ID; actual mouse and selection mapping absent
GART+Ki67+ cells (%),multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Control,IF_GART_MYBL2_KI67__Control_rep_01,0.92,1,source-position ID; actual mouse and selection mapping absent
GART+Ki67+ cells (%),multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Control,IF_GART_MYBL2_KI67__Control_rep_02,0.74,2,source-position ID; actual mouse and selection mapping absent
GART+Ki67+ cells (%),multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Control,IF_GART_MYBL2_KI67__Control_rep_03,0.38,3,source-position ID; actual mouse and selection mapping absent
GART+Ki67+ cells (%),multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Model,IF_GART_MYBL2_KI67__Model_rep_01,15.61,1,source-position ID; actual mouse and selection mapping absent
GART+Ki67+ cells (%),multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Model,IF_GART_MYBL2_KI67__Model_rep_02,11.39,2,source-position ID; actual mouse and selection mapping absent
GART+Ki67+ cells (%),multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Model,IF_GART_MYBL2_KI67__Model_rep_03,19.6,3,source-position ID; actual mouse and selection mapping absent
GART+MYBL2+Ki67+ cells (%),multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Control,IF_GART_MYBL2_KI67__Control_rep_01,0.47,1,source-position ID; actual mouse and selection mapping absent
GART+MYBL2+Ki67+ cells (%),multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Control,IF_GART_MYBL2_KI67__Control_rep_02,0.84,2,source-position ID; actual mouse and selection mapping absent
GART+MYBL2+Ki67+ cells (%),multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Control,IF_GART_MYBL2_KI67__Control_rep_03,0.37,3,source-position ID; actual mouse and selection mapping absent
GART+MYBL2+Ki67+ cells (%),multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Model,IF_GART_MYBL2_KI67__Model_rep_01,6.2,1,source-position ID; actual mouse and selection mapping absent
GART+MYBL2+Ki67+ cells (%),multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Model,IF_GART_MYBL2_KI67__Model_rep_02,8.34,2,source-position ID; actual mouse and selection mapping absent
GART+MYBL2+Ki67+ cells (%),multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Model,IF_GART_MYBL2_KI67__Model_rep_03,15.68,3,source-position ID; actual mouse and selection mapping absent
GART MFI in EPCAM+ crypt epithelium,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Control,IF_GART_OLFM4_Epcam__Control_rep_01,4.34,1,source-position ID; actual mouse and selection mapping absent
GART MFI in EPCAM+ crypt epithelium,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Control,IF_GART_OLFM4_Epcam__Control_rep_02,2.96,2,source-position ID; actual mouse and selection mapping absent
GART MFI in EPCAM+ crypt epithelium,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Control,IF_GART_OLFM4_Epcam__Control_rep_03,2.51,3,source-position ID; actual mouse and selection mapping absent
GART MFI in EPCAM+ crypt epithelium,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Model,IF_GART_OLFM4_Epcam__Model_rep_01,8.85,1,source-position ID; actual mouse and selection mapping absent
GART MFI in EPCAM+ crypt epithelium,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Model,IF_GART_OLFM4_Epcam__Model_rep_02,10.37,2,source-position ID; actual mouse and selection mapping absent
GART MFI in EPCAM+ crypt epithelium,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Model,IF_GART_OLFM4_Epcam__Model_rep_03,7.76,3,source-position ID; actual mouse and selection mapping absent
OLFM4 MFI in EPCAM+ crypt epithelium,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Control,IF_GART_OLFM4_Epcam__Control_rep_01,4.32,1,source-position ID; actual mouse and selection mapping absent
OLFM4 MFI in EPCAM+ crypt epithelium,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Control,IF_GART_OLFM4_Epcam__Control_rep_02,3.78,2,source-position ID; actual mouse and selection mapping absent
OLFM4 MFI in EPCAM+ crypt epithelium,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Control,IF_GART_OLFM4_Epcam__Control_rep_03,6.81,3,source-position ID; actual mouse and selection mapping absent
OLFM4 MFI in EPCAM+ crypt epithelium,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Model,IF_GART_OLFM4_Epcam__Model_rep_01,7.75,1,source-position ID; actual mouse and selection mapping absent
OLFM4 MFI in EPCAM+ crypt epithelium,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Model,IF_GART_OLFM4_Epcam__Model_rep_02,9.27,2,source-position ID; actual mouse and selection mapping absent
OLFM4 MFI in EPCAM+ crypt epithelium,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Model,IF_GART_OLFM4_Epcam__Model_rep_03,10.03,3,source-position ID; actual mouse and selection mapping absent
GART+OLFM4+EPCAM+ cells / estimated crypt ROI,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Control,IF_GART_OLFM4_Epcam__Control_rep_01,0.14,1,source-position ID; actual mouse and selection mapping absent
GART+OLFM4+EPCAM+ cells / estimated crypt ROI,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Control,IF_GART_OLFM4_Epcam__Control_rep_02,0.09,2,source-position ID; actual mouse and selection mapping absent
GART+OLFM4+EPCAM+ cells / estimated crypt ROI,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Control,IF_GART_OLFM4_Epcam__Control_rep_03,0.23,3,source-position ID; actual mouse and selection mapping absent
GART+OLFM4+EPCAM+ cells / estimated crypt ROI,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Model,IF_GART_OLFM4_Epcam__Model_rep_01,13.83,1,source-position ID; actual mouse and selection mapping absent
GART+OLFM4+EPCAM+ cells / estimated crypt ROI,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Model,IF_GART_OLFM4_Epcam__Model_rep_02,12.76,2,source-position ID; actual mouse and selection mapping absent
GART+OLFM4+EPCAM+ cells / estimated crypt ROI,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Model,IF_GART_OLFM4_Epcam__Model_rep_03,9.37,3,source-position ID; actual mouse and selection mapping absent
% GART+ among EPCAM+ epithelial cells,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Control,IF_GART_OLFM4_Epcam__Control_rep_01,5.02,1,source-position ID; actual mouse and selection mapping absent
% GART+ among EPCAM+ epithelial cells,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Control,IF_GART_OLFM4_Epcam__Control_rep_02,8.7,2,source-position ID; actual mouse and selection mapping absent
% GART+ among EPCAM+ epithelial cells,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Control,IF_GART_OLFM4_Epcam__Control_rep_03,3.43,3,source-position ID; actual mouse and selection mapping absent
